id_pregunta,id_tema,pregunta,calidad_promt
1,1,¿Cómo se define el poder en el contexto de las relaciones sociales y organizacionales?,5
2,1,¿Cuáles son las principales teorías que explican el concepto de poder?,5
3,1,¿Cómo influyen el poder formal y el poder informal en una estructura organizacional?,5
4,1,¿Cuáles son las implicaciones éticas del ejercicio del poder en diferentes contextos?,5
5,1,¿Qué estrategias pueden emplearse para gestionar el poder de manera efectiva en un entorno laboral?,5
6,2,¿Cuáles son las características principales de un buen líder?,5
7,2,"¿Cómo se diferencian los estilos de liderazgo autocrático, democrático y laissez-faire?",5
8,2,¿Cuál es la importancia del liderazgo transformacional en el desarrollo organizacional?,5
9,2,¿Cómo influyen los rasgos personales en el estilo de liderazgo de un individuo?,5
10,2,¿Cuáles son los desafíos más comunes que enfrentan los líderes en un entorno empresarial globalizado y diverso?,5
11,3,¿Qué se entiende por comportamiento asertivo y cuál es su importancia en la comunicación interpersonal?,5
12,3,"¿Cuáles son las diferencias entre ser asertivo, pasivo y agresivo en situaciones de conflicto?",5
13,3,¿Cómo se pueden desarrollar habilidades asertivas en un entorno laboral?,5
14,3,¿Cuáles son las barreras más comunes que impiden a las personas expresarse de manera asertiva?,5
15,3,¿Qué papel juega la empatía en la práctica de la asertividad?,5
16,4,¿Qué se entiende por formas de trabajo flexibles y cuáles son sus beneficios para empleadores y empleados?,5
17,4,"¿Cuáles son las diferencias entre el trabajo presencial, remoto y híbrido, y cómo afectan la productividad y el bienestar de los trabajadores?",5
18,4,¿Qué desafíos surgen al implementar modelos de trabajo a distancia en una organización?,5
19,4,¿Cómo pueden las tecnologías de la información y comunicación facilitar la colaboración en equipos distribuidos?,5
20,4,¿Cuáles son las tendencias emergentes en las formas de trabajo y cómo están transformando el mundo laboral?,5
21,5,¿Qué elementos componen la filosofía organizacional de una empresa y cómo influyen en su cultura corporativa?,5
22,5,¿Cuál es la importancia de alinear la filosofía organizacional con los objetivos estratégicos de una empresa?,5
23,5,¿Cómo pueden las empresas comunicar efectivamente su filosofía organizacional a empleados y otras partes interesadas?,5
24,5,¿Cuál es el papel de la ética y los valores en la elaboración de la filosofía organizacional de una empresa?,5
25,5,¿Cómo puede una filosofía organizacional sólida contribuir al éxito a largo plazo de una empresa en un mercado competitivo?,5